編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLKKRHGGFAO58EA,4,70.67,集合住宅,鋼筋混凝土造,106年6月9日,十二層,七層 陽台 雨遮
RPQNMLKKRHGGFAO58EA,4,50.99,共有部分,鋼筋混凝土造,106年6月9日,十二層,
RPXPMLTJRHGGFAO57DA,,72.41,集合住宅,鋼筋混凝土造,110年6月11日,十四層,四層 陽台 雨遮
RPXPMLTJRHGGFAO57DA,,64.36,共有部分,鋼筋混凝土造,110年6月11日,十四層,
RPXPMLTJRHGGFAO57DA,,3.57,共有部分,鋼筋混凝土造,110年6月11日,十四層,
RPXPMLTJRHGGFAO57DA,,21.44,共有部分,鋼筋混凝土造,110年6月11日,十四層,
RPPOMLKKRHGGFAO48DA,46,102.36,住家用,加強磚造,64年4月26日,二層,一層 二層
RPXNMLKKRHGGFAO56DA,40,103.30,住家用,鋼筋混凝土造,71年2月13日,四層,一層 二層 三層 四層
RPTOMLKKRHGGFAO88DA,7,243.42,室內停車、住宅、樓梯間,鋼筋混凝土造,103年2月28日,四層,一層 二層 三層 四層 見其他登記事項
RPVOMLKKRHGGFAO09DA,14,266.70,停車空間、住宅、梯間,鋼筋混凝土造,96年5月21日,四層,一層 二層 三層 四層 雨遮 見其他登記事項
RPOQMLKKRHGGFAO58DA,9,44.86,集合住宅,鋼筋混凝土造,101年2月21日,十一層,二層 陽台
RPOQMLKKRHGGFAO58DA,9,24.18,共有部分,鋼筋混凝土造,101年2月21日,十一層,
RPUQMLKKRHGGFAO56DA,11,57.49,集合住宅,鋼筋混凝土造,99年12月28日,七層,三層 陽台 雨遮
RPUQMLKKRHGGFAO56DA,11,.05,管委會使用空間,鋼筋混凝土造,99年12月28日,七層,一層
RPUQMLKKRHGGFAO56DA,11,9.51,共有部分,鋼筋混凝土造,99年12月28日,七層,
RPUQMLKKRHGGFAO56DA,11,40.51,共有部分,鋼筋混凝土造,99年12月28日,七層,
RPUQMLKKRHGGFAO56DA,11,3.99,共有部分,鋼筋混凝土造,99年12月28日,七層,
RPQOMLLKRHGGFAO68DA,8,107.39,集合住宅,鋼筋混凝土造,102年12月20日,十一層,二層 陽台
RPQOMLLKRHGGFAO68DA,8,49.31,共有部分,鋼筋混凝土造,102年12月20日,十一層,
RPQOMLLKRHGGFAO68DA,8,19.04,共有部分,鋼筋混凝土造,102年12月20日,十一層,
RPVNMLLKRHGGFAO09DA,11,84.33,集合住宅,鋼筋混凝土造,99年8月9日,十五層,十二層 陽台 雨遮
RPVNMLLKRHGGFAO09DA,11,72.26,共有部分,鋼筋混凝土造,99年8月9日,十五層,
RPVNMLLKRHGGFAO09DA,11,18.14,共有部分,鋼筋混凝土造,99年8月9日,十五層,
RPURMLRJRHGGFAO27DA,,72.14,集合住宅,鋼筋混凝土造,110年6月11日,十四層,八層 陽台 雨遮
RPURMLRJRHGGFAO27DA,,122.26,共有部分,鋼筋混凝土造,110年6月11日,十四層,
RPURMLRJRHGGFAO27DA,,3.57,共有部分,鋼筋混凝土造,110年6月11日,十四層,
RPURMLRJRHGGFAO27DA,,21.44,共有部分,鋼筋混凝土造,110年6月11日,十四層,
RPTRMLRJRHGGFAO17DA,,55.36,集合住宅,鋼筋混凝土造,110年6月11日,十四層,十三層 陽台 雨遮
RPTRMLRJRHGGFAO17DA,,62.74,共有部分,鋼筋混凝土造,110年6月11日,十四層,
RPTRMLRJRHGGFAO17DA,,2.67,共有部分,鋼筋混凝土造,110年6月11日,十四層,
RPTRMLRJRHGGFAO17DA,,16.03,共有部分,鋼筋混凝土造,110年6月11日,十四層,
RPSOMLSJRHGGFAO86DA,44,106.46,住家用,加強磚造,66年1月8日,二層,一層 二層 騎樓
RPPOMLLKRHGGFAO58DA,16,1.61,集合住宅,鋼筋混凝土造,94年2月20日,四層,地下一層
RPPOMLLKRHGGFAO58DA,16,30.98,集合住宅,鋼筋混凝土造,94年2月20日,四層,地下三層
RPPOMLLKRHGGFAO58DA,16,.50,共有部分,鋼筋混凝土造,94年2月20日,四層,
RPPOMLLKRHGGFAO58DA,16,35.94,共有部分,鋼筋混凝土造,94年2月20日,四層,
RPPOMLLKRHGGFAO58DA,16,10.88,共有部分,鋼筋混凝土造,94年2月20日,四層,
