編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPPMLNJRHGGFFE28DA,,27.64,本共有部分之項目有昇降梯、梯廳、廁所、門廊、走廊、梯廳(走廊)、機電設備空間、樓梯間、管委會使用空間、屋頂水箱、停車空間等十一項。,鋼筋混凝土造,110年6月23日,005,
RPWOMLNJRHGGFFE88DA,,56.37,集合住宅,鋼筋混凝土造,110年6月23日,005,二層 陽台
RPWOMLNJRHGGFFE88DA,,20.61,本共有部分之項目有昇降梯、梯廳、廁所、門廊、走廊、梯廳(走廊)、機電設備空間、樓梯間、管委會使用空間、屋頂水箱、停車空間等十一項。,鋼筋混凝土造,110年6月23日,005,
RPOPMLNJRHGGFFE18DA,,56.37,集合住宅,鋼筋混凝土造,110年6月23日,005,五層 陽台
RPOPMLNJRHGGFFE18DA,,20.61,本共有部分之項目有昇降梯、梯廳、廁所、門廊、走廊、梯廳(走廊)、機電設備空間、樓梯間、管委會使用空間、屋頂水箱、停車空間等十一項。,鋼筋混凝土造,110年6月23日,005,
RPTOMLNJRHGGFFE58DA,,40.32,集合住宅,鋼筋混凝土造,110年6月23日,005,三層 陽台
RPTOMLNJRHGGFFE58DA,,29.85,本共有部分之項目有昇降梯、梯廳、廁所、門廊、走廊、梯廳(走廊)、機電設備空間、樓梯間、管委會使用空間、屋頂水箱、停車空間等十一項。,鋼筋混凝土造,110年6月23日,005,
RPRPMLNJRHGGFFE48DA,,56.29,集合住宅,鋼筋混凝土造,110年6月23日,005,二層 陽台
RPRPMLNJRHGGFFE48DA,,35.37,本共有部分之項目有昇降梯、梯廳、廁所、門廊、走廊、梯廳(走廊)、機電設備空間、樓梯間、管委會使用空間、屋頂水箱、停車空間等十一項。,鋼筋混凝土造,110年6月23日,005,
RPSPMLNJRHGGFFE58DA,,56.29,集合住宅,鋼筋混凝土造,110年6月23日,005,三層 陽台
RPSPMLNJRHGGFFE58DA,,35.37,本共有部分之項目有昇降梯、梯廳、廁所、門廊、走廊、梯廳(走廊)、機電設備空間、樓梯間、管委會使用空間、屋頂水箱、停車空間等十一項。,鋼筋混凝土造,110年6月23日,005,
RPVOMLNJRHGGFFE78DA,,40.32,集合住宅,鋼筋混凝土造,110年6月23日,005,五層 陽台
RPVOMLNJRHGGFFE78DA,,36.48,本共有部分之項目有昇降梯、梯廳、廁所、門廊、走廊、梯廳(走廊)、機電設備空間、樓梯間、管委會使用空間、屋頂水箱、停車空間等十一項。,鋼筋混凝土造,110年6月23日,005,
RPTPMLNJRHGGFFE68DA,,56.29,集合住宅,鋼筋混凝土造,110年6月23日,005,四層 陽台
RPTPMLNJRHGGFFE68DA,,35.37,本共有部分之項目有昇降梯、梯廳、廁所、門廊、走廊、梯廳(走廊)、機電設備空間、樓梯間、管委會使用空間、屋頂水箱、停車空間等十一項。,鋼筋混凝土造,110年6月23日,005,
RPVPMLNJRHGGFFE88DA,,40.32,集合住宅,鋼筋混凝土造,110年6月23日,005,二層 陽台
RPVPMLNJRHGGFFE88DA,,15.08,本共有部分之項目有昇降梯、梯廳、廁所、門廊、走廊、梯廳(走廊)、機電設備空間、樓梯間、管委會使用空間、屋頂水箱、停車空間等十一項。,鋼筋混凝土造,110年6月23日,005,
RPWPMLNJRHGGFFE98DA,,40.32,集合住宅,鋼筋混凝土造,110年6月23日,005,三層 陽台
RPWPMLNJRHGGFFE98DA,,15.08,本共有部分之項目有昇降梯、梯廳、廁所、門廊、走廊、梯廳(走廊)、機電設備空間、樓梯間、管委會使用空間、屋頂水箱、停車空間等十一項。,鋼筋混凝土造,110年6月23日,005,
RPOQMLNJRHGGFFE28DA,,40.32,集合住宅,鋼筋混凝土造,110年6月23日,005,四層 陽台
RPOQMLNJRHGGFFE28DA,,15.08,本共有部分之項目有昇降梯、梯廳、廁所、門廊、走廊、梯廳(走廊)、機電設備空間、樓梯間、管委會使用空間、屋頂水箱、停車空間等十一項。,鋼筋混凝土造,110年6月23日,005,
RPPQMLNJRHGGFFE38DA,,40.32,集合住宅,鋼筋混凝土造,110年6月23日,005,五層 陽台
RPPQMLNJRHGGFFE38DA,,15.08,本共有部分之項目有昇降梯、梯廳、廁所、門廊、走廊、梯廳(走廊)、機電設備空間、樓梯間、管委會使用空間、屋頂水箱、停車空間等十一項。,鋼筋混凝土造,110年6月23日,005,
RPUQMLNJRHGGFFE88DA,,59.29,集合住宅,鋼筋混凝土造,110年6月23日,005,二層 陽台
RPUQMLNJRHGGFFE88DA,,21.63,本共有部分之項目有昇降梯、梯廳、廁所、門廊、走廊、梯廳(走廊)、機電設備空間、樓梯間、管委會使用空間、屋頂水箱、停車空間等十一項。,鋼筋混凝土造,110年6月23日,005,
RPWQMLNJRHGGFFE09DA,,59.29,集合住宅,鋼筋混凝土造,110年6月23日,005,三層 陽台
