鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
新竹市,土地,新興段635地號,77.0,都市：其他:第二種住宅區,,,1100807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4880000,63377,,0.0,0,,RPWNMLTJRHGGFAO27DA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物)+車位,新竹市新竹市樹下街２９６之２號,104.34,,鄉村區,乙種建築用地,1100713,土地3建物1車位1,全,四層,透天厝,集合住宅、停車空間、樓梯間,鋼筋混凝土造,1090108,187.91,3,2,4,有,無,12900000,68650,一樓平面,0.0,0,其他增建；,RPPPMLTJRHGGFAO76DA,181.76,6.15,0.0,有,
新竹市,土地,西門段一小段234-1地號,146.0,都市：其他:道路用地,,,1100728,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9044006,61945,,0.0,0,包含公共設施保留地用地；,RPXNMLRLQHGGFAO37EA,0.0,0.0,0.0,無,038
新竹市,土地,仙水段394地號,0.87,都市：其他:道路用地,,,1100810,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,41739,0,,0.0,0,包含公共設施保留地用地；協議價購；,RPTNMLKKQHGGFAO78EA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物)+車位,新竹市新香街３４６號３樓,67.13,,山坡地保育區,丙種建築用地,1100816,土地10建物1車位1,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840722,139.67,2,2,2,有,有,3000000,21479,升降機械,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLTJRHGGFAO66EA,97.72,15.0,0.0,有,
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路三段６６７巷２４號４Ｆ,24.65,都市：其他:第一之一種住宅區,,,1100729,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831128,133.57999999999998,3,2,2,有,有,5700000,42671,坡道平面,0.0,0,其他增建；,RPQNMLTJRHGGFAO76EA,75.59,9.82,0.0,有,
新竹市,房地(土地+建物)+車位,新竹市新竹市江山街２０巷１號七樓之５,14.0,都市：其他:第二種商業區,,,1100818,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1060609,121.66,3,2,2,有,有,11000000,90416,升降機械,11.0,0,陽台外推；,RPQNMLKKRHGGFAO58EA,57.99,12.68,0.0,有,039
新竹市,房地(土地+建物),新竹市新竹市寶山路４５２巷５弄２８號,82.96,都市：其他:第一種住宅區,,,1100731,土地1建物1車位0,全,三層,透天厝,停車空間、住宅、樓梯間,鋼筋混凝土造,0960419,190.39,17,0,17,有,無,23800000,125007,,0.0,0,頂樓加蓋；夾層；其他增建；,RPRNMLKKRHGGFAO68EA,166.9,23.49,0.0,無,040
新竹市,土地,福林段19地號,74.56,都市：其他:道路用地,,,1100820,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3580000,48015,,0.0,0,包含公共設施保留地用地；,RPPNMLLKRHGGFAO58EA,0.0,0.0,0.0,無,041
新竹市,土地,海濱段495地號,6532.43,都市：其他:農業區,,,1100713,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,98803000,15125,,0.0,0,,RPUNMLLJRHGGFAO98EA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物)+車位,新竹市新竹市埔頂路１２１號７樓,14.21,都市：其他:第一種住宅區,,,1100903,土地4建物1車位1,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841208,106.32,2,2,1,有,有,7000000,65839,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLKKRHGGFAO48EA,56.08,7.94,0.0,有,
新竹市,土地,東山段二小段717-1地號,47.0,都市：其他:道路用地,,,1100826,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3268850,69550,,0.0,0,包含公共設施保留地用地；,RPSNMLLKRHGGFAO88EA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物)+車位,新竹市新竹市經國路二段３６號四樓之２,13.57,都市：其他:第一種住宅區,,,1100324,土地2建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100611,161.78,3,2,2,有,有,10900000,90008,坡道平面,57.9,1550000,預售屋、或土地及建物分件登記案件；,RPXPMLTJRHGGFAO57DA,63.9,8.51,0.0,有,
新竹市,土地,聚吉段7-3地號,39.0,都市：其他:第二種商業區,,,1100907,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10335000,265000,,0.0,0,政府機關標讓售；,RPRPMLTJRHGGFAO96DA,0.0,0.0,0.0,無,
