編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLSJRHGGFBG58DA,5,36.72,本共有部分之項目有：停車空間、頂蓋型廣場式開放空間、公共服務空間、ＫＴＶ室、棋牌室、樓梯間、水錶區、水箱,鋼筋混凝土造,105年11月8日,十三層,
RPSNMLSJRHGGFBG68DA,5,75.05,集合住宅,鋼筋混凝土造,105年11月8日,十三層,十一層 陽台
RPSNMLSJRHGGFBG68DA,5,56.34,本共有部分之項目有：停車空間、頂蓋型廣場式開放空間、公共服務空間、ＫＴＶ室、棋牌室、樓梯間、水錶區、水箱,鋼筋混凝土造,105年11月8日,十三層,
RPUNMLNKRHGGFBG48DA,,360.83,農舍、昇降機間,鋼筋混凝土造,110年6月29日,三層,一層 二層 三層 見其他登記事項
RPSNMLOKRHGGFBG38DA,4,54.45,集合住宅,鋼骨鋼筋混凝土造,106年12月21日,二十九層,二十二層 陽台 雨遮
RPSNMLOKRHGGFBG38DA,4,43.76,本共用部分之項目有：停車空間、大廳、供管委員會使用空間、中繼機房、機電梯間、機房、水箱等７項,鋼骨鋼筋混凝土造,106年12月21日,二十九層,
RPOOMLQKRHGGFBG38EA,32,118.08,住家用,鋼筋混凝土造,78年5月2日,四層,一層 二層
RPOOMLQKRHGGFBG38EA,32,43.62,避難室﹒停車場,鋼筋混凝土造,78年5月2日,四層,一層 騎樓 地下層
RPQPMLOKRHGGFBG38DA,,371.42,農舍,鋼筋混凝土造,110年4月21日,三層,一層 二層 三層 陽台
RPPOMLQKRHGGFBG38DA,13,76.43,集合住宅,鋼筋混凝土造,97年6月25日,十三層,二層 陽台
RPPOMLQKRHGGFBG38DA,13,58.43,共有部份,鋼筋混凝土造,97年6月25日,十三層,
RPPOMLQKRHGGFBG38DA,13,.78,共有部份,鋼筋混凝土造,97年6月25日,十三層,
RPPPMLQKRHGGFBG48DA,40,122.72,住家用,鋼筋混凝土加強磚造,70年9月18日,二層,一層 二層
RPQOMLNKRHGGFAG08DA,2,135.98,集合住宅,鋼筋混凝土造,108年10月9日,十五層,五層 陽台
RPQOMLNKRHGGFAG08DA,2,47.29,本共有部分之項目有：防空避難室兼停車空間、管理委員會、樓梯間等３項,鋼筋混凝土造,108年10月9日,十五層,
RPQOMLNKRHGGFAG08DA,2,46.36,本共有部分之項目有：樓梯間、水箱、機房、機械室等４項（Ｃ棟公設）,鋼筋混凝土造,108年10月9日,十五層,
RPVNMLPKRHGGFAG68DA,6,209.01,住家用,鋼筋混凝土造,104年4月16日,四層,一層 二層 三層 四層 陽台
RPSNMLRLQHGGFBG68DA,44,172.11,住商用,鋼筋混凝土加強磚造,66年11月7日,三層,一層 二層 三層 騎樓
RPQOMLPKRHGGFAG28DA,15,85.42,住家用,鋼筋混凝土造,96年2月6日,五層,二層 陽台 見其他登記事項
RPQOMLPKRHGGFAG28DA,15,.15,守衛室,鋼筋混凝土造,96年2月6日,一層,
RPQOMLPKRHGGFAG28DA,15,20.90,通道．樓梯間,鋼筋混凝土造,96年2月6日,五層,
RPSOMLTKPHGGFAG68DA,,224.25,室內空間、停車空間、住宅,鋼筋混凝土造,110年1月13日,四層,一層 二層 三層 四層 陽台
RPPNMLNJRHGGFAG77DA,58,41.13,住家用,鋼筋混凝土造,52年10月27日,一層,一層
RPUOMLQJRHGGFAG68DA,6,337.90,農舍,鋼筋混凝土造,104年10月22日,三層,一層 二層 三層 陽台 見其他登記事項
RPRNMLPKRHGGFAG28DA,30,140.39,住家用,鋼筋混凝土造,80年3月7日,二層,一層 二層 屋頂突出物
RPQNMLKKRHGGFBG77DA,4,38.10,集合住宅,鋼筋混凝土造,106年8月14日,十五層,十四層 陽台
RPQNMLKKRHGGFBG77DA,4,30.05,本共有部分之項目有停車空間、機電空間、管理委員會空間及屋頂突出物等４項,鋼筋混凝土造,106年8月14日,十五層,
RPSNMLKKRHGGFBG97DA,21,23.32,共有部份,鋼筋混凝土造,89年4月27日,十二層,
RPSNMLKKRHGGFBG97DA,21,.07,住家用,鋼筋混凝土造,89年4月27日,十二層,一層
